央视频道,#genre#
CCTV1,http://111.197.224.161:4022/rtp/239.3.1.129:8008
CCTV2,http://111.197.224.161:4022/rtp/239.3.1.60:8084
CCTV3,http://111.197.224.161:4022/rtp/239.3.1.172:8001
CCTV4欧洲,http://111.197.224.161:4022/rtp/239.3.1.213:4220
CCTV4美洲,http://111.197.224.161:4022/rtp/239.3.1.214:4220
CCTV5,http://111.197.224.161:4022/rtp/239.3.1.173:8001
CCTV8,http://111.197.224.161:4022/rtp/239.3.1.175:8001
CCTV9,http://111.197.224.161:4022/rtp/239.3.1.62:8112
CCTV10,http://111.197.224.161:4022/rtp/239.3.1.63:8116
CCTV10,http://111.197.224.161:4022/rtp/239.3.1.78:4120
CCTV11,http://111.197.224.161:4022/rtp/239.3.1.152:8120
CCTV12,http://111.197.224.161:4022/rtp/239.3.1.64:8124
CCTV13,http://111.197.224.161:4022/rtp/239.3.1.124:8128
CCTV15,http://111.197.224.161:4022/rtp/239.3.1.153:8136
CCTV16,http://111.197.224.161:4022/rtp/239.3.1.184:8001

卫视频道,#genre#
湖北卫视,http://111.197.224.161:4022/rtp/239.3.1.138:8044
江苏卫视,http://111.197.224.161:4022/rtp/239.3.1.135:8028
深圳卫视,http://111.197.224.161:4022/rtp/239.3.1.134:8020
吉林卫视,http://111.197.224.161:4022/rtp/239.3.1.240:8172
天津卫视,http://111.197.224.161:4022/rtp/239.3.1.141:1234
东方卫视,http://111.197.224.161:4022/rtp/239.3.1.136:8032
东南卫视,http://111.197.224.161:4022/rtp/239.3.1.156:8148
北京卫视,http://111.197.224.161:4022/rtp/239.3.1.241:8000
四川卫视,http://111.197.224.161:4022/rtp/239.3.1.29:8288
陕西卫视,http://111.197.224.161:4022/rtp/239.3.1.41:8140
山西卫视,http://111.197.224.161:4022/rtp/239.3.1.42:8172
河南卫视,http://111.197.224.161:4022/rtp/239.3.1.27:8128
宁夏卫视,http://111.197.224.161:4022/rtp/239.3.1.46:8124
甘肃卫视,http://111.197.224.161:4022/rtp/239.3.1.49:8188
江西卫视,http://111.197.224.161:4022/rtp/239.3.1.123:8164
西藏卫视,http://111.197.224.161:4022/rtp/239.3.1.47:8164
内蒙古卫视,http://111.197.224.161:4022/rtp/239.3.1.43:8176
新疆卫视,http://111.197.224.161:4022/rtp/239.3.1.48:8160
广西卫视,http://111.197.224.161:4022/rtp/239.3.1.39:8300
三沙卫视,http://111.197.224.161:4022/rtp/239.3.1.155:4120

影视剧场,#genre#
爱上4K,http://111.197.224.161:4022/rtp/239.3.1.236:2000
爱生活,http://111.197.224.161:4022/rtp/239.3.1.86:4120
家庭影院,http://111.197.224.161:4022/rtp/239.3.1.93:4120
喜剧影院,http://111.197.224.161:4022/rtp/239.3.1.91:4120
军事,http://111.197.224.161:4022/rtp/239.3.1.76:4120
动作影院,http://111.197.224.161:4022/rtp/239.3.1.92:4120
解密,http://111.197.224.161:4022/rtp/239.3.1.75:4120

