其他频道,#genre#
CHC,http://113.195.8.69:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=0&authid=0
CHC家庭影院,http://42.48.17.188:9901/tsfile/live/37232_1.m3u8?key=txiptv&playlive=1&authid=0
CHC影院,http://113.195.8.69:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=0&authid=0
CHC电影,http://113.195.8.69:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=0&authid=0
IPTV热播剧场,http://219.137.231.40:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV热播剧场,http://219.137.230.245:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV热播剧场,http://113.109.117.237:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
欢笑剧场,http://180.213.174.231:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
欢笑剧场,http://113.195.8.69:9901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
河南电视剧,http://115.48.61.3:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
河南电视剧,http://219.154.240.173:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
河南电视剧,http://222.142.199.205:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
深圳电视剧,http://61.141.202.118:9901/tsfile/live/0126_3.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://124.228.160.246:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://42.48.17.188:9901/tsfile/live/37220_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://42.48.17.188:9901/tsfile/live/37219_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://116.128.242.83:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
潇湘电影,http://116.128.242.83:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
热播剧场,http://115.48.61.3:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
珠江电影,http://119.125.104.88:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&down=1
电影,http://123.189.36.103:9901/tsfile/live/1104_1.m3u8?key=txiptv&playlive=1&authid=0
相声小品,http://115.48.61.3:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://113.195.8.69:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=0&authid=0
第一剧场,http://183.94.212.30:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://180.213.174.231:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://115.48.61.3:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://222.142.199.205:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://27.8.233.175:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://116.135.39.141:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://116.135.39.181:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://113.57.20.158:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
谍战剧场,http://115.48.61.3:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
谍战剧场,http://119.125.104.88:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&down=1
风云剧场,http://113.195.8.69:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=0&authid=0
风云剧场,http://113.195.8.69:9901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://180.213.174.231:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0

07月30日17时,#genre#

CCTV1,http://58.210.60.226:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
